SNID,IAUC,host,RA,Dec,RA_host,Dec_host,zhel,zcmb,zhelerr,zHD,zHDerr,PV,vpecerr,RA_group,Dec_group,zhel_group,zcmb_group,zHD_group,PV_group,in_group,has_host,is_SNz
2007ss,2007ss,NGC 4617,190.275290,50.391310,190.274460,50.393420,0.015572,0.016187,0.000010,0.01652,0.00085,-97,250,,,,,,,0,1,0
2007su,2007su,SDSS J221908.85+131040.4,334.787000,13.177860,334.786870,13.177920,0.027832,0.026604,0.000011,0.02740,0.00086,-232,250,,,,,,,0,1,0
2007sw,2007sw,UGC 07228,183.403670,46.493360,183.403380,46.493970,0.025244,0.025965,0.000060,0.02642,0.00086,-134,250,183.880025,47.008385,0.024289,0.024999,0.02546,-51,1,1,0
2008A,2008A,NGC 0634,24.572420,35.370470,24.577750,35.364830,0.016455,0.015554,0.000007,0.01563,0.00085,-21,250,,,,,,,0,1,0
2008050,,WISEA J133647.61+050833.3,204.198290,5.141780,204.198290,5.142530,0.045260,0.046273,0.000200,0.04625,0.00090,6,250,,,,,,,0,1,0
2008051,,GALEXASC J151958.89+045417.3,229.995500,4.904640,229.995370,4.904810,0.037770,0.038348,0.000060,0.03873,0.00087,-109,250,,,,,,,0,1,0
2008ac,2008ac,SDSS J115345.22+482521.0,178.438250,48.422640,178.438420,48.422500,0.052808,0.053531,0.000020,0.05363,0.00088,-29,250,,,,,,,0,1,0
2008ad,2008ad,2MASS J12493690+2819445,192.404790,28.329580,192.403710,28.329110,0.055441,0.056401,0.000007,0.05614,0.00088,74,250,,,,,,,0,1,0
2008ae,2008ae,IC 0577,149.013330,10.499670,149.016540,10.498860,0.030029,0.031175,0.000010,0.03145,0.00086,-79,250,,,,,,,0,1,0
2008ai,2008ai,CGCG 184-039,164.416540,37.661640,164.426920,37.654530,0.035093,0.036000,0.000013,0.03663,0.00086,-183,250,,,,,,,0,1,0
2008at,2008at,UGC 05645,156.801460,71.415670,156.797370,71.417890,0.035001,0.035250,0.000163,0.03549,0.00088,-70,250,156.654091,71.315437,0.034722,0.034973,0.03522,-70,1,1,0
2008bw,2008bw,UGC 11241,276.710250,51.137940,276.707580,51.139170,0.032663,0.032286,0.000044,0.03296,0.00086,-195,250,,,,,,,0,1,0
2008by,2008by,WISEA J120520.83+405645.9,181.337420,40.946000,181.336710,40.945670,0.045000,0.045837,0.000090,0.04631,0.00088,-134,250,,,,,,,0,1,0
2008cm,2008cm,NGC 2369,109.161460,-62.314690,109.157210,-62.343720,0.011078,0.011511,0.000150,0.01162,0.00086,-32,250,,,,,,,0,1,0
2008dr,2008dr,NGC 7222,332.715290,2.108220,332.715670,2.105810,0.041195,0.039960,0.000012,0.04014,0.00087,-51,250,,,,,,,0,1,0
2008ds,2008ds,UGC 00299,7.461790,31.392750,7.472540,31.393360,0.021061,0.019977,0.000007,0.02117,0.00085,-351,250,,,,,,,0,1,0
2008dt,2008dt,NGC 6261,254.127330,27.975890,254.127170,27.977500,0.035184,0.035183,0.000011,0.03551,0.00086,-94,250,,,,,,,0,1,0
2008gb,2008gb,UGC 02427,44.488040,46.865720,44.486370,46.867640,0.037000,0.036410,0.000090,0.03796,0.00087,-447,250,,,,,,,0,1,0
2008hm,2008hm,2MFGC 02845,51.795420,46.944330,51.795080,46.943420,0.019664,0.019178,0.000077,0.02067,0.00085,-437,250,,,,,,,0,1,0
2008Q,2008Q,NGC 0524,21.238460,9.550420,21.198830,9.538830,0.008016,0.006975,0.000017,0.00726,0.00084,-84,250,21.132578,9.488881,0.008263,0.007222,0.00751,-84,1,1,0
2008Z,2008Z,WISEA J094315.34+361708.4,145.813540,36.284420,145.814000,36.285890,0.020621,0.021465,0.000014,0.02118,0.00085,83,250,,,,,,,0,1,0
2009bv,2009bv,KUG 1305+360,196.835290,35.784390,196.835420,35.788580,0.036675,0.037485,0.000063,0.03848,0.00087,-288,250,,,,,,,0,1,0
2009do,2009do,MCG +09-21-022,188.743120,50.851220,188.747250,50.851110,0.039642,0.040272,0.000011,0.04099,0.00087,-207,250,,,,,,,0,1,0
2009gf,2009gf,NGC 5525,213.904620,14.280170,213.913460,14.282610,0.018446,0.019247,0.000008,0.01855,0.00085,205,250,,,,,,,0,1,0
2009jr,2009jr,IC 1320,306.608460,2.908920,306.606920,2.909720,0.016561,0.015618,0.000170,0.01593,0.00086,-92,250,,,,,,,0,1,0
2009kk,2009kk,2MFGC 03182,57.434460,-3.264420,57.430370,-3.259690,0.012859,0.012436,0.000150,0.01220,0.00086,69,250,,,,,,,0,1,0
04D3ez,,WISEA J141907.88+530419.2,214.782890,53.071990,214.782750,53.071920,0.263000,0.263483,0.000500,0.26360,0.00117,-27,250,,,,,,,0,1,0
05D2ah,,SDSS J100128.71+015147.1,150.369600,1.862830,150.369670,1.863080,0.184890,0.186268,0.000120,0.18616,0.00100,29,250,,,,,,,0,1,0
05D3ne,,SARCS 104,215.262270,52.495530,215.260580,52.495190,0.169251,0.169701,0.000035,0.16985,0.00098,-38,250,,,,,,,0,1,0
06D2fb,,WISEA J095932.10+014938.8,149.883950,1.827920,149.883710,1.827530,0.124500,0.125805,0.000200,0.12566,0.00096,39,250,,,,,,,0,1,0
06D3dt,,WISEA J141721.60+522709.4,214.340270,52.452820,214.340290,52.452690,0.282050,0.282556,0.000010,0.28266,0.00107,-25,250,,,,,,,0,1,0
06D3fp,,SNLS 06D3fp HOST,215.077520,52.897160,215.077580,52.897110,0.268000,0.268484,0.001000,0.26860,0.00146,-26,250,,,,,,,0,1,0
06D3gn,,SDSS J141744.60+522141.1,214.435960,52.361180,214.435830,52.361420,0.250194,0.250688,0.000002,0.25080,0.00104,-27,250,,,,,,,0,1,0
2009lf,2009lf,WISEA J020140.78+151952.5,30.415040,15.332810,30.419920,15.331250,0.045000,0.044051,0.002000,0.04483,0.00218,-224,250,,,,,,,0,1,1
2009li,2009li,IC 1549,5.714170,6.969940,5.707620,6.964280,0.040515,0.039293,0.000012,0.03993,0.00087,-184,250,,,,,,,0,1,0
2009na,2009na,UGC 05884,161.755920,26.543920,161.760790,26.542890,0.020994,0.022038,0.000008,0.02200,0.00085,10,250,161.592900,26.175884,0.021041,0.022089,0.02205,10,1,1,0
2009nq,2009nq,NGC 7549,348.820710,19.022920,348.821790,19.041690,0.015711,0.014487,0.000012,0.01488,0.00085,-116,250,348.812324,18.983378,0.016492,0.015266,0.01566,-147,1,1,0
2010A,2010A,UGC 02019,38.164420,0.619500,38.163710,0.617330,0.020755,0.019956,0.000010,0.01998,0.00085,-7,250,38.087425,0.987198,0.021594,0.020792,0.02081,-7,1,1,0
2010ag,2010ag,UGC 10679,255.973460,31.501720,255.970960,31.499110,0.033715,0.033669,0.000025,0.03366,0.00086,3,250,255.946649,31.481142,0.033406,0.033361,0.03335,3,1,1,0
2010cr,2010cr,NGC 5177,202.354290,11.796220,202.351080,11.797030,0.021551,0.022529,0.000009,0.02134,0.00085,349,250,202.383369,11.413126,0.022695,0.023676,0.02249,213,1,1,0
2010dt,2010dt,CGCG 168-029,250.811170,32.675110,250.805210,32.677920,0.052868,0.052915,0.000017,0.05316,0.00088,-69,250,,,,,,,0,1,0
2010dw,2010dw,WISEA J152240.59-055521.7,230.667960,-5.921080,230.669250,-5.922810,0.038120,0.038713,0.000150,0.03902,0.00088,-90,250,,,,,,,0,1,0
2010H,2010H,IC 0494,121.601500,1.035860,121.600500,1.036060,0.015197,0.016055,0.000067,0.01649,0.00085,-127,250,,,,,,,0,1,0
2010Y,2010Y,NGC 3392,162.766460,65.779720,162.762500,65.781560,0.010779,0.011146,0.000007,0.01206,0.00084,-270,250,162.701340,65.746984,0.011054,0.011422,0.01233,-270,1,1,0
PTF10bjs,,MCG +09-21-083,195.296750,53.815970,195.297330,53.811170,0.030014,0.030550,0.000006,0.03122,0.00086,-194,250,,,,,,,0,1,0
1993ac,1993ac,CGCG 307-023,86.598250,63.368610,86.602670,63.359060,0.049370,0.049317,0.000090,0.05003,0.00088,-203,250,,,,,,,0,1,0
1993ae,1993ae,IC 0126,22.453790,-1.976970,22.449420,-1.983750,0.019667,0.018646,0.000150,0.02009,0.00086,-424,250,,,,,,,0,1,0
1994ae,1994ae,NGC 3370,161.758080,17.275220,161.766870,17.273610,0.004273,0.005396,0.000009,0.00588,0.00084,-145,250,,,,,,,0,1,0
1994M,1994M,NGC 4493,187.785870,0.605440,187.784880,0.613690,0.023083,0.024259,0.000009,0.02464,0.00085,-110,250,,,,,,,0,1,0
1994Q,1994Q,CGCG 224-104,252.463040,40.432170,252.463210,40.433420,0.029460,0.029449,0.000009,0.02858,0.00086,253,250,,,,,,,0,1,0
1994S,1994S,NGC 4495,187.841040,29.134440,187.845330,29.136470,0.015243,0.016189,0.000010,0.01588,0.00085,92,250,,,,,,,0,1,0
1994T,1994T,CGCG 016-058,200.378040,-2.149030,200.377120,-2.145560,0.034568,0.035641,0.000010,0.03583,0.00086,-55,250,,,,,,,0,1,0
1995ac,1995ac,2MFGC 17122,341.392250,-8.751310,341.391960,-8.750720,0.049904,0.048666,0.000017,0.04860,0.00087,20,250,,,,,,,0,1,0
1995ak,1995ak,IC 1844,41.453460,3.230580,41.455830,3.230310,0.022699,0.021949,0.000028,0.02205,0.00085,-29,250,41.575472,3.532192,0.022682,0.021934,0.02203,-29,1,1,0
1995al,1995al,NGC 3021,147.733210,33.552610,147.738120,33.553640,0.005347,0.006228,0.000060,0.00697,0.00084,-222,250,147.485523,33.497282,0.005037,0.005916,0.00666,-242,1,1,0
1995bd,1995bd,UGC 03151,71.338500,11.067360,71.331830,11.067810,0.015390,0.015223,0.000090,0.01536,0.00085,-41,250,,,,,,,0,1,0
1995D,1995D,NGC 2962,145.228120,5.140610,145.224710,5.165810,0.006561,0.007681,0.000017,0.00806,0.00084,-114,250,145.316600,5.026792,0.006680,0.007801,0.00818,-114,1,1,0
1995E,1995E,NGC 2441,117.986460,73.009610,117.978080,73.015690,0.011562,0.011650,0.000001,0.01214,0.00084,-146,250,,,,,,,0,1,0
1996ab,1996ab,,230.284790,27.926890,,,0.123000,0.123483,0.005000,0.12352,0.00509,-9,250,,,,,,,0,0,1
1996ai,1996ai,NGC 5005,197.742210,37.059830,197.734290,37.059190,0.003096,0.003855,0.000048,0.00451,0.00084,-195,250,,,,,,,0,1,0
1996bk,1996bk,NGC 5308,206.741580,60.970250,206.751790,60.973170,0.006665,0.006998,0.000017,0.00779,0.00084,-237,250,,,,,,,0,1,0
1996bl,1996bl,WISEA J003618.14+112335.3,9.074870,11.394580,9.075710,11.392970,0.036000,0.034811,0.000090,0.03459,0.00087,64,250,,,,,,,0,1,0
1996bo,1996bo,NGC 0673,27.095250,11.520860,27.093500,11.521310,0.017289,0.016314,0.000005,0.01665,0.00085,-99,250,,,,,,,0,1,0
1996bv,1996bv,UGC 03432,94.054170,57.052470,94.056790,57.051500,0.016665,0.016726,0.000017,0.01699,0.00085,-79,250,,,,,,,0,1,0
1996C,1996C,MCG +08-25-047,207.702500,49.318639,207.703460,49.315140,0.028235,0.028748,0.000025,0.02913,0.00086,-112,250,,,,,,,0,1,0
1996X,1996X,NGC 5061,199.504710,-26.845900,199.521120,-26.837220,0.006765,0.007770,0.000150,0.00620,0.00085,468,250,199.992645,-27.245746,0.007125,0.008122,0.00655,406,1,1,0
1996Z,1996Z,NGC 2935,144.186750,-21.147600,144.186870,-21.128140,0.007565,0.008674,0.000150,0.00817,0.00085,150,250,,,,,,,0,1,0
1997bp,1997bp,NGC 4680,191.723960,-11.642500,191.727960,-11.637060,0.008176,0.009312,0.000150,0.00864,0.00085,201,250,,,,,,,0,1,0
1997br,1997br,ESO 576- G 040,200.176670,-22.036700,200.182290,-22.051110,0.006988,0.008010,0.000150,0.00665,0.00085,406,250,,,,,,,0,1,0
1997cn,1997cn,NGC 5490,212.490670,17.542310,212.488710,17.545560,0.016137,0.016935,0.000048,0.01624,0.00085,205,250,,,,,,,0,1,0
1997cw,1997cw,NGC 0105 NED02,6.321960,12.885060,6.319920,12.883860,0.017122,0.015937,0.000100,0.01629,0.00085,-104,250,,,,,,,0,1,0
1997dg,1997dg,WISEA J234014.14+261209.8,355.059210,26.203280,355.059210,26.203280,0.030810,0.029619,0.000050,0.02996,0.00086,-99,250,,,,,,,0,1,0
1997do,1997do,UGC 03845,111.677080,47.093330,111.677960,47.093970,0.010120,0.010478,0.000023,0.01073,0.00084,-76,250,,,,,,,0,1,0
1997dt,1997dt,NGC 7448,345.012210,15.980810,345.014960,15.980330,0.007296,0.006071,0.000018,0.00683,0.00084,-225,250,,,,,,,0,1,0
1997E,1997E,NGC 2258,101.908750,74.497500,101.940830,74.481670,0.013539,0.013528,0.000120,0.01439,0.00085,-255,250,101.760103,74.474330,0.013152,0.013140,0.01400,-184,1,1,0
1997Y,1997Y,NGC 4675,191.380830,54.738060,191.382870,54.737610,0.015952,0.016486,0.000006,0.01692,0.00085,-128,250,191.261994,54.740428,0.016078,0.016613,0.01705,-128,1,1,0
1998ab,1998ab,NGC 4704,192.196830,41.924530,192.193460,41.921250,0.027153,0.027903,0.000012,0.02857,0.00086,-194,250,192.285410,41.820291,0.027311,0.028061,0.02873,-194,1,1,0
1998bp,1998bp,NGC 6495,268.711420,18.330690,268.711500,18.326920,0.010435,0.010165,0.000044,0.01060,0.00084,-129,250,,,,,,,0,1,0
1998co,1998co,NGC 7131,326.901000,-13.181190,326.900460,-13.182610,0.017936,0.016838,0.000150,0.01730,0.00086,-137,250,,,,,,,0,1,0
1998D,1998D,NGC 5440,210.747000,34.748420,210.754330,34.757860,0.012559,0.013218,0.000140,0.01319,0.00086,8,250,,,,,,,0,1,0
1998de,1998de,NGC 0252,12.028670,27.624580,12.006250,27.623640,0.016471,0.015395,0.000043,0.01594,0.00085,-161,250,,,,,,,0,1,0
1998dh,1998dh,NGC 7541,348.667960,4.537250,348.682880,4.534360,0.008969,0.007726,0.000018,0.00818,0.00084,-134,250,348.676693,4.528584,0.008934,0.007692,0.00814,-134,1,1,0
1998dk,1998dk,UGC 00139,3.634000,-0.736360,3.632710,-0.737560,0.013163,0.011972,0.000013,0.01218,0.00084,-61,250,,,,,,,0,1,0
1998dm,1998dm,UGCA 017,21.558210,-6.103890,21.560120,-6.094140,0.006668,0.005665,0.000150,0.00631,0.00085,-191,250,,,,,,,0,1,0
1998dx,1998dx,UGC 11149,272.799540,49.861310,272.790710,49.864690,0.054224,0.053888,0.000043,0.05426,0.00088,-104,250,272.628631,49.766142,0.050137,0.049804,0.05017,-107,1,1,0
1998ec,1998ec,UGC 03576,103.275460,50.039470,103.279170,50.034060,0.019914,0.020142,0.000026,0.02095,0.00085,-236,250,,,,,,,0,1,0
1998ef,1998ef,UGC 00646,15.861960,32.236780,15.859960,32.237360,0.017611,0.016600,0.000005,0.01742,0.00085,-240,250,17.365365,32.715014,0.017094,0.016100,0.01692,-237,1,1,0
1998eg,1998eg,UGC 12133,339.876080,8.605920,339.883330,8.612940,0.024760,0.023509,0.000007,0.02394,0.00085,-126,250,339.950546,8.431364,0.024834,0.023582,0.02401,-126,1,1,0
1998es,1998es,NGC 0632,24.323330,5.880720,24.323040,5.877640,0.010571,0.009567,0.000150,0.00966,0.00086,-28,250,,,,,,,0,1,0
1998V,1998V,NGC 6627,275.655830,15.702140,275.662170,15.698000,0.017586,0.017177,0.000025,0.01753,0.00085,-103,250,,,,,,,0,1,0
1999aa,1999aa,NGC 2595,126.925120,21.487440,126.925080,21.479110,0.014422,0.015240,0.000009,0.01535,0.00085,-34,250,127.063811,21.516736,0.014969,0.015790,0.01590,-34,1,1,0
1999ac,1999ac,NGC 6063,241.812540,7.972330,241.804120,7.979000,0.009476,0.009793,0.000016,0.01017,0.00084,-112,250,,,,,,,0,1,0
1999cc,1999cc,NGC 6038,240.675120,37.359560,240.668960,37.359500,0.031257,0.031459,0.000009,0.03130,0.00086,47,250,240.778990,37.311754,0.031117,0.031317,0.03116,47,1,1,0
1999cl,1999cl,MESSIER 088,187.983380,14.426470,187.996500,14.420390,0.007451,0.008535,0.000048,0.00851,0.00084,9,250,,,,,,,0,1,0
1999cw,1999cw,MCG -01-02-001,5.006080,-6.334330,5.000210,-6.333920,0.012325,0.011166,0.000150,0.01137,0.00086,-61,250,,,,,,,0,1,0
1999dq,1999dq,NGC 0976,38.498670,20.975110,38.500080,20.976780,0.014330,0.013541,0.000002,0.01332,0.00085,65,250,38.797613,20.994105,0.014121,0.013337,0.01312,65,1,1,0
1999ef,1999ef,UGC 00607,14.692500,12.745830,14.687170,12.748360,0.038857,0.037716,0.000009,0.03781,0.00087,-26,250,,,,,,,0,1,0
1999ej,1999ej,NGC 0495,20.739080,33.466110,20.733330,33.471670,0.013723,0.012770,0.000033,0.01182,0.00084,281,250,21.041921,33.581505,0.016294,0.015343,0.01439,-46,1,1,0
1999ek,1999ek,WISEA J053632.39+163829.5,84.131670,16.638280,84.135000,16.641530,0.017522,0.017610,0.000033,0.01758,0.00085,10,250,,,,,,,0,1,0
1999gd,1999gd,NGC 2623,129.602540,25.759190,129.600330,25.754640,0.018181,0.018997,0.000015,0.01937,0.00085,-111,250,,,,,,,0,1,0
1999gh,1999gh,NGC 2986,146.082290,-21.273600,146.066830,-21.278000,0.007705,0.008828,0.000103,0.00798,0.00085,252,250,,,,,,,0,1,0
1999gp,1999gp,UGC 01993,37.913120,39.381190,37.916920,39.378360,0.026749,0.026028,0.000026,0.02691,0.00086,-259,250,,,,,,,0,1,0
1999X,1999X,CGCG 180-022,133.634290,36.511420,133.632620,36.509610,0.025040,0.025783,0.000011,0.02648,0.00086,-205,250,,,,,,,0,1,0
2000B,2000B,NGC 2320,106.419710,50.586250,106.425120,50.581060,0.019141,0.019402,0.000054,0.01917,0.00085,68,250,,,,,,,0,1,0
2000ce,2000ce,UGC 04195,121.289380,66.787560,121.278620,66.782920,0.016261,0.016458,0.000009,0.01722,0.00085,-225,250,,,,,,,0,1,0
2000cf,2000cf,MCG +11-19-025,238.234120,65.936860,238.232210,65.935580,0.036425,0.036456,0.000066,0.03707,0.00087,-178,250,,,,,,,0,1,0
2000cn,2000cn,UGC 11064,269.418420,27.832810,269.420920,27.834720,0.023493,0.023198,0.000033,0.02341,0.00085,-63,250,269.360959,27.904617,0.022889,0.022596,0.02281,-112,1,1,0
2000cx,2000cx,NGC 0524,21.192290,9.508580,21.198830,9.538830,0.008016,0.006975,0.000017,0.00726,0.00084,-84,250,,,,,,,0,1,0
2000dk,2000dk,NGC 0382,16.848000,32.406440,16.849460,32.403860,0.017489,0.016488,0.000100,0.01730,0.00085,-240,250,,,,,,,0,1,0
2000fa,2000fa,UGC 03770,108.874500,23.428440,108.873210,23.426250,0.021275,0.021806,0.000017,0.02240,0.00085,-174,250,,,,,,,0,1,0
ASASSN-14eu,,MCG -01-38-015,225.153500,-3.846920,225.161830,-3.858330,0.022722,0.023407,0.000113,0.02254,0.00086,253,250,,,,,,,0,1,0
ASASSN-14fa,,ESO 416- G 039,43.096080,-31.821670,43.093040,-31.817280,0.022269,0.021744,0.000150,0.02219,0.00087,-130,250,42.630041,-31.263942,0.023156,0.022619,0.02306,-159,1,1,0
ASASSN-14kd,,WISEA J225324.76+044757.8,343.353920,4.799220,343.353120,4.799470,0.024000,0.022742,0.002000,0.02306,0.00217,-94,250,,,,,,,0,1,0
ASASSN-14lw,,WISEA J010647.87-465901.4,16.704880,-46.983320,16.699710,-46.984310,0.020900,0.020266,0.000090,0.01977,0.00086,147,250,,,,,,,0,1,0
iPTF13dge,,NGC 1762,75.896167,1.571500,75.904290,1.573330,0.015858,0.015812,0.000009,0.01662,0.00085,-237,250,,,,,,,0,1,0
iPTF13ebh,,NGC 0890,35.499920,33.270470,35.504210,33.266060,0.013164,0.012383,0.000048,0.01114,0.00084,367,250,,,,,,,0,1,0
iPTF14atg,,IC 0831,193.186667,26.470278,193.183620,26.470420,0.021294,0.022238,0.000008,0.02066,0.00085,463,250,,,,,,,0,1,0
iPTF14bdn,,UGC 08503,202.687000,32.761780,202.686750,32.760780,0.015579,0.016355,0.000007,0.01603,0.00085,96,250,,,,,,,0,1,0
LSQ11ot,,CGCG 421-013,78.951420,6.777600,78.948210,6.778140,0.027339,0.027346,0.000017,0.02714,0.00086,61,250,,,,,,,0,1,0
LSQ12gdj,,ESO 472- G 007,358.680500,-25.676110,358.688210,-25.673140,0.029911,0.028862,0.000103,0.02947,0.00086,-176,250,,,,,,,0,1,0
LSQ13crf,,WISEA J031050.33+012519.7,47.709290,1.421920,47.709670,1.422220,0.060000,0.059345,0.005000,0.05974,0.00508,-112,250,,,,,,,0,1,1
LSQ13ddu,,WISEA J035849.18-292508.5,59.704542,-29.419944,59.705040,-29.419060,0.058454,0.058181,0.000150,0.05747,0.00089,203,250,,,,,,,0,1,0
LSQ13ry,,2MASS J10324784+0411450,158.200000,4.197710,158.199330,4.195970,0.029846,0.031075,0.000012,0.03118,0.00086,-30,250,,,,,,,0,1,0
PS1-14xw,,NGC 6240,253.240130,2.393470,253.245290,2.400920,0.024307,0.024400,0.000027,0.02415,0.00085,74,250,253.255491,2.418816,0.024270,0.024363,0.02411,74,1,1,0
PTF09dnp,,WISEA J151925.36+493004.8,229.851540,49.498970,229.855670,49.501310,0.037304,0.037572,0.000011,0.03819,0.00087,-177,250,,,,,,,0,1,0
PTF10icb,,MCG +10-19-001,193.705040,58.881860,193.707460,58.882330,0.008560,0.009005,0.000007,0.00992,0.00084,-273,250,,,,,,,0,1,0
2005df,2005df,NGC 1559,64.407710,-62.769310,64.399040,-62.783670,0.004350,0.004354,0.000013,0.00406,0.00084,86,250,,,,,,,0,1,0
2006dm,2006dm,ARP 295A,355.449330,-3.669000,355.447040,-3.667220,0.022836,0.021608,0.000150,0.02228,0.00087,-198,250,,,,,,,0,1,0
2007cv,2007cv,IC 2597,159.439170,-27.082500,159.447710,-27.081690,0.009974,0.011133,0.000150,0.01064,0.00086,147,250,159.124438,-27.592110,0.012455,0.013612,0.01311,-73,1,1,0
2007gi,2007gi,NGC 4036,180.347580,61.892720,180.361460,61.895780,0.004620,0.005053,0.000017,0.00587,0.00084,-243,250,,,,,,,0,1,0
2008dx,2008dx,,195.059620,27.954560,,,0.035000,0.035923,0.004000,0.03688,0.00410,-277,250,,,,,,,0,0,1
2008ec,2008ec,NGC 7469,345.819000,8.872170,345.815080,8.874000,0.016260,0.015009,0.000060,0.01557,0.00085,-166,250,345.823979,8.911894,0.016312,0.015061,0.01562,-166,1,1,0
2008ge,2008ge,NGC 1527,62.102830,-47.896500,62.100580,-47.897030,0.004043,0.003932,0.000057,0.00389,0.00084,13,250,,,,,,,0,1,0
2009jb,2009jb,SDSS J172341.69+302950.9,260.924710,30.497280,260.923710,30.497470,0.023380,0.023244,0.000060,0.02307,0.00086,52,250,,,,,,,0,1,0
2010el,2010el,NGC 1566,64.995120,-54.944030,65.001750,-54.937810,0.005017,0.004984,0.000007,0.00538,0.00084,-117,250,,,,,,,0,1,0
2010gn,2010gn,WISEA J171750.10+405252.4,259.457920,40.881110,259.458580,40.881280,0.031360,0.031231,0.000060,0.03147,0.00086,-70,250,,,,,,,0,1,0
2010gp,2010gp,NGC 6240,253.239120,2.387890,253.245290,2.400920,0.024307,0.024400,0.000027,0.02415,0.00085,74,250,253.255491,2.418816,0.024270,0.024363,0.02411,74,1,1,0
2010ih,2010ih,NGC 2325,105.681790,-28.640330,105.668330,-28.697220,0.007288,0.007866,0.000073,0.00815,0.00084,-85,250,,,,,,,0,1,0
2010jn,2010jn,NGC 2929,144.376000,23.159250,144.374210,23.161670,0.025024,0.026023,0.000011,0.02617,0.00086,-42,250,,,,,,,0,1,0
2010kg,2010kg,NGC 1633,70.035000,7.350000,70.037960,7.349440,0.016632,0.016445,0.000007,0.01696,0.00085,-151,250,70.001843,7.205999,0.016135,0.015948,0.01646,-167,1,1,0
2010ko,2010ko,NGC 1954,83.206000,-14.096080,83.201370,-14.062780,0.010463,0.010612,0.000019,0.01086,0.00084,-75,250,83.176694,-14.026114,0.010815,0.010964,0.01122,-75,1,1,0
2011aa,2011aa,UGC 03906,114.177620,74.443000,114.168330,74.448330,0.012355,0.012406,0.000087,0.01290,0.00085,-146,250,,,,,,,0,1,0
2011ao,2011ao,IC 2973,178.462620,33.362860,178.461500,33.365500,0.010742,0.011675,0.000010,0.01195,0.00084,-82,250,,,,,,,0,1,0
2011ay,2011ay,NGC 2315,105.641920,50.590280,105.637750,50.590580,0.020544,0.020796,0.000734,0.02188,0.00113,-318,250,,,,,,,0,1,0
2011B,2011B,NGC 2655,133.952080,78.217420,133.907210,78.223080,0.004647,0.004708,0.000014,0.00551,0.00084,-238,250,134.756125,77.982968,0.004514,0.004581,0.00538,-238,1,1,0
2011de,2011de,UGC 10018,235.971880,67.761810,235.914790,67.760830,0.029187,0.029222,0.000017,0.02975,0.00086,-155,250,,,,,,,0,1,0
2011dm,2011dm,UGC 11861,329.173290,73.296920,329.100000,73.260720,0.004930,0.004450,0.000002,0.00554,0.00084,-325,250,,,,,,,0,1,0
2011dn,2011dn,UGC 11501,299.648040,2.604530,299.654290,2.602940,0.025272,0.024429,0.000024,0.02513,0.00086,-206,250,,,,,,,0,1,0
2011eh,2011eh,NGC 3613,169.632080,57.977000,169.650460,58.000000,0.006693,0.007218,0.000045,0.00808,0.00084,-257,250,,,,,,,0,1,0
2011gu,2011gu,NGC 7485,346.511670,34.110190,346.520250,34.107690,0.019120,0.018002,0.000061,0.01836,0.00085,-107,250,,,,,,,0,1,0
2011hb,2011hb,NGC 7674,351.981290,8.779360,351.986330,8.779030,0.029050,0.027785,0.000223,0.02825,0.00089,-136,250,352.069523,8.803876,0.029013,0.027748,0.02821,-132,1,1,0
2011ia,2011ia,KUG 0941+644,146.264790,64.260170,146.263170,64.257500,0.017672,0.018038,0.000009,0.01864,0.00085,-177,250,,,,,,,0,1,0
2011im,2011im,NGC 7364,341.105080,-0.167220,341.101540,-0.162080,0.016163,0.014928,0.000002,0.01549,0.00085,-165,250,,,,,,,0,1,0
2011iv,2011iv,NGC 1404,54.713960,-35.592220,54.716330,-35.594390,0.006248,0.005943,0.000150,0.00668,0.00085,-219,250,,,,,,,0,1,0
2012fr,2012fr,NGC 1365,53.399960,-36.127140,53.401540,-36.140390,0.005551,0.005229,0.000150,0.00587,0.00085,-191,250,53.196283,-35.470560,0.004928,0.004598,0.00524,-68,1,1,0
2012hr,2012hr,ESO 121- G 026,95.410250,-59.714060,95.411460,-59.739920,0.007566,0.007885,0.000018,0.00814,0.00084,-76,250,,,,,,,0,1,0
2012ij,2012ij,CGCG 097-050,175.066000,17.456170,175.067040,17.457220,0.010451,0.011577,0.000007,0.01171,0.00084,-39,250,,,,,,,0,1,0
2012V,2012V,NGC 6829,296.793000,59.916640,296.781500,59.907080,0.010978,0.010456,0.000026,0.01147,0.00084,-301,250,,,,,,,0,1,0
2012Z,2012Z,NGC 1309,50.522290,-15.387670,50.527330,-15.400060,0.007185,0.006680,0.000150,0.00719,0.00085,-153,250,,,,,,,0,1,0
2013aa,2013aa,NGC 5643,218.141170,-44.224390,218.169750,-44.174420,0.004113,0.004781,0.000150,0.00330,0.00085,441,250,,,,,,,0,1,0
2013ag,2013ag,WISEA J125135.41+263744.3,192.895920,26.629280,192.897580,26.628920,0.021295,0.022239,0.000036,0.02066,0.00085,463,250,,,,,,,0,1,0
2013cg,2013cg,NGC 2891,141.736540,-24.783220,141.735960,-24.783030,0.007745,0.008815,0.000150,0.00853,0.00085,85,250,,,,,,,0,1,0
2013cs,2013cs,ESO 576- G 017,198.811710,-17.965440,198.803927,-17.966603,0.009240,0.010295,0.000024,0.00935,0.00084,281,250,,,,,,,0,1,0
2013dh,2013dh,NGC 5936,232.504540,12.986920,232.503460,12.989330,0.013298,0.013781,0.000010,0.01360,0.00085,54,250,,,,,,,0,1,0
